calle_lev,edad,origen,destino,motivo_viaje,motivo_dejar_bici,robado_bici,robo_forma,sexo,educacion,ingreso_mensual
AV. FRANCISCO TLALTENCO,29,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,3,3
AV DEL ARBOL,17,7,7,3,Lesión o incapacidad,No,,Hombre,7,9
AV. VILLA FRANQUEZA,62,5,1,2,Llevar prisa,No,,Hombre,1,1
AV. VILLA FRANQUEZA,26,1,7,4,Fala mecánica de bici,No,,Hombre,4,2
AV. VILLA FRANQUEZA,66,1,4,4,Clima,Sí,Estacionada,Hombre,8,2
AV. VILLA FRANQUEZA,13,1,4,1,Lesión o incapacidad,No,,Mujer,4,9
AV. VILLA FRANQUEZA,50,7,2,1,Ningún motivo,No,,Hombre,4,4
AV. CAÐADA,17,1,4,4,Clima,No,,Hombre,5,1
MARIANO MATAMOROS,62,2,7,8,Fala mecánica de bici,No,,Hombre,3,3
AV. SAN JERONIMO,34,4,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,9
AV. SAN JERONIMO,14,1,1,2,Clima,No,,Hombre,4,9
SAN LUIS CABRERA,49,1,7,9,Recorrido muy largo,No,,Hombre,4,3
AV LUIS CABRERA,28,2,7,6,Ningún motivo,No,,Hombre,5,4
CAMINO DE SANTA TERESA,23,2,1,2,Llevar prisa,No,,Hombre,5,2
CALZADA LEGARIA,50,2,3,8,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
CARRILLO PUERTO MARINA NACIONAL,22,3,1,2,Fala mecánica de bici,Sí,Estacionada,Hombre,5,9
AV. MARINA NACIONAL,38,2,4,1,Recorrido muy largo,Sí,Estacionada,Hombre,8,3
MARINA NACIONAL,19,1,2,1,Cambio de trabajo,No,,Hombre,4,4
VOSGOS,22,1,2,1,Cambio de trabajo,Sí,En movimiento,Hombre,4,2
AV. CONSTITUYENTES,27,2,1,1,No contestó,No,,Hombre,5,4
REFORMA,32,7,2,1,Cambio de trabajo,No,,Hombre,4,3
REFORMA,30,2,1,2,Lesión o incapacidad,Sí,Estacionada,Mujer,8,6
LAGUNA DE MAYRAN,62,4,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,3
LAGUNA DE MAYRAN,40,1,4,4,Clima,Sí,Estacionada,Mujer,4,3
REFORMA,39,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,9,6
ANDRES BELLO,25,3,7,6,Lesión o incapacidad,No,,Mujer,8,3
ANDRES BELLO,23,2,3,3,No haya bici disponible,Sí,En movimiento,Hombre,5,3
ANDRES BELLO,20,3,1,2,Lesión o incapacidad,No,,Mujer,8,3
AV. REVOLUCION,51,2,1,2,Clima,No,,Hombre,5,4
AV. JALISCO PONIENTE,27,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,4,2
AV. NIGUEL HIDALGO,31,3,2,1,Ningún motivo,No,,Hombre,8,3
AV. MORELOS,16,3,1,2,No sé,Sí,Estacionada,Hombre,4,3
CANAL DEL RECODO,37,1,7,9,Lesión o incapacidad,Sí,Estacionada,Mujer,3,9
CANAL DE RECODO,62,4,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,4,9
JOSEFA ORTIZ DE DOMINGUEZ,25,5,5,8,Lesión o incapacidad,No,,Hombre,4,9
SAN PEDRO ACTOPAN,53,2,1,2,Clima,No,,Hombre,4,2
MELCHOR OCAMPO,30,1,2,1,Cambio de trabajo,Sí,En movimiento,Hombre,8,4
AV CAMINO NATIVITAS,18,1,3,3,Recorrido muy largo,Sí,Estacionada,Hombre,5,3
AV 16 DE SEPTIEMBRE,60,2,1,1,Ningún motivo,No,,Hombre,4,9
CARRETERA A SAN PABLO,46,1,4,4,No haya bici disponible,No,,Hombre,5,4
CARRETERA A SAN PABLO,21,1,7,10,Llevar prisa,Sí,En movimiento,Hombre,8,2
BENITO JUAREZ,14,3,1,2,Recorrido muy largo,No,,Hombre,4,9
CAMINO REAL A TOLUCA,29,2,2,8,Lesión o incapacidad,Sí,Estacionada,Hombre,5,5
SAN JERONIMO,30,2,1,2,Fala mecánica de bici,No,,Hombre,1,9
AV. CUITLAHUAC,51,1,1,2,Fala mecánica de bici,Sí,Estacionada,Hombre,5,4
CAMARONES,40,2,7,8,Clima,Sí,Estacionada,Hombre,5,4
AV. CUITLAHUAC,26,1,5,10,Recorrido muy largo,No,,Hombre,8,3
CALZADA ERMITA IZTAPALAPA,18,3,1,2,Lesión o incapacidad,No,,Mujer,5,1
ISABEL LA CATOLICA,21,2,2,1,Lesión o incapacidad,No,,Mujer,5,9
CALZADA CAMARONES,61,4,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,8,9
CALZADA CAMARONES,69,7,1,2,Inseguridad,No,,Hombre,5,1
JERUSALEN,58,1,4,4,Lesión o incapacidad,Sí,Estacionada,Hombre,4,2
JERUSALEN,43,1,2,1,Cambio de trabajo,No,,Hombre,5,3
CAMARONES,38,7,1,2,Ningún motivo,No,,Mujer,4,3
JERUSALEN,48,1,2,1,Inseguridad,Sí,Estacionada,Hombre,5,2
JERUSALEN,46,4,1,4,Lesión o incapacidad,No,,Hombre,4,3
AV. DE LAS GRANJAS,18,3,1,2,Lesión o incapacidad,No,,Hombre,5,2
REAL DE SAN MARTIN,37,1,2,1,Lesión o incapacidad,No,,Hombre,5,9
AV. DE LAS GRANJAS,20,3,1,2,Clima,No,,Hombre,8,3
EL ROSARIO,30,2,7,6,Lesión o incapacidad,Sí,Estacionada,Hombre,5,9
CAMINO A NEXTENGO,37,1,5,10,Recorrido muy largo,No,,Hombre,5,2
REAL DE SAN MARTIN,60,2,5,5,Clima,No,,Hombre,4,3
EL ROSARIO,18,1,2,1,Clima,No,,Hombre,5,3
EL ROSARIO,69,1,2,1,Clima,Sí,Estacionada,Hombre,5,2
EL ROSARIO,55,1,7,6,Ningún motivo,No,,Hombre,8,9
SAN FRANCISCO,38,2,5,8,Fala mecánica de bici,No,,Hombre,4,3
RIO GUADALUPE,25,2,1,2,Cambio de trabajo,No,,Mujer,4,2
RIO DE GUADALUPE,48,1,2,1,Fala mecánica de bici,Sí,Estacionada,Hombre,3,4
AV  JALALPA,12,1,7,6,No sé,No,,Mujer,3,9
PROLONGACION REFORMA,35,1,7,10,Inseguridad,No,,Hombre,7,3
CALZADA DE LOS LEONES,47,2,1,1,Ningún motivo,No,,Mujer,5,3
CAMINO VIEJO A MIXCOAC,26,2,1,2,Llevar prisa,No,,Hombre,3,1
AV TOLUCA,37,2,1,2,Lesión o incapacidad,No,,Hombre,5,4
CALZADA DESIERTO DE LOS LEONES,57,1,2,1,Falta de infraestructura,No,,Hombre,3,3
VASCO DE QUIROGA,16,1,7,6,Fala mecánica de bici,Sí,Estacionada,Hombre,4,2
ISABEL LA CATOLICA,30,1,5,10,Clima,No,,Mujer,8,3
ISABEL LA CATOLICA,51,2,2,8,Ningún motivo,Sí,Estacionada,Hombre,3,3
SIMON BOLIVAR,28,1,2,1,Lesión o incapacidad,Sí,Estacionada,Mujer,4,2
SIMON BOLIVAR,19,2,6,8,Lesión o incapacidad,No,,Hombre,4,2
INDEPENDENCIA,27,2,1,2,Fala mecánica de bici,No,,Hombre,5,2
JOSE LORETO FABELA,52,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
AV 506,33,1,4,4,Lesión o incapacidad,No,,Mujer,5,2
AV TALIAMAN,50,1,4,4,No haya bici disponible,Sí,En movimiento,Hombre,5,3
AV TALISMAN,19,3,1,2,Clima,No,,Mujer,5,9
FRANCISCO MORAZAN,20,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
AV 506,38,7,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,2
FRANCISCO MORAZAN,37,1,5,8,Recorrido muy largo,Sí,Estacionada,Mujer,4,2
LA PRADERA,36,1,4,4,Inseguridad,No,,Hombre,4,9
AV 606,65,1,7,4,Ningún motivo,Sí,Estacionada,Hombre,8,9
AV. CENTRAL,13,2,4,5,Cambio de trabajo,No,,Hombre,4,2
AV SUR 12,23,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,5,9
SUR 16,35,2,7,8,Cambio de trabajo,Sí,Estacionada,Hombre,5,4
AV SUR  12,50,1,2,1,Lesión o incapacidad,No,,Mujer,3,9
VIADUCTO RIO DE LA PIEDAD,50,1,4,4,Fala mecánica de bici,No,,Hombre,3,9
ERMITA IZTAPALAPA,56,2,1,2,Ningún motivo,No,,Hombre,4,3
CAMINO ANTIGUO A CULHUACAN,20,1,4,4,Lesión o incapacidad,No,,Hombre,4,3
ARNESES,32,3,1,2,Fala mecánica de bici,No,,Hombre,8,9
ARNESES,59,5,1,2,No haya bici disponible,No,,Mujer,4,3
CAMINO ANTIGUA CULHUACAN,33,1,2,7,Lesión o incapacidad,No,,Hombre,4,3
ERMITA IZTAPALAPA,34,1,3,3,Fala mecánica de bici,No,,Hombre,4,4
NI?OS HEROES,54,1,2,1,Fala mecánica de bici,No,,Hombre,4,3
NI?OS HEROES,30,1,4,4,Llevar prisa,Sí,Estacionada,Mujer,5,3
CALZADA IGNACIO ZARAGOZA,37,4,3,5,Lesión o incapacidad,Sí,Estacionada,Hombre,5,4
NI?OS HEROES,58,1,1,2,Fala mecánica de bici,No,,Hombre,4,2
NI?OS HEROES,54,4,1,2,Lesión o incapacidad,No,,Hombre,4,3
AV TELECOMUNICACIONES,40,2,2,8,Llevar prisa,Sí,Estacionada,Mujer,3,3
BATALLA DE CALPULALOA,42,2,7,8,Clima,No,,Hombre,5,9
CARDIOLOGOS,17,1,2,1,Cambio de trabajo,No,,Hombre,4,3
AV BENITO JUAREZ,28,1,2,1,Lesión o incapacidad,No,,Hombre,5,5
AV GUELATAO,16,1,2,1,Llevar prisa,No,,Hombre,4,4
SANTA MARIA MEYEHUALCO,18,2,1,2,Fala mecánica de bici,No,,Hombre,5,3
AV. JALISCO,16,1,2,1,Llevar prisa,No,,Hombre,4,2
EL VERGEL,73,1,5,10,Lesión o incapacidad,No,,Hombre,3,2
SAN MIGUEL,34,1,7,6,Ningún motivo,No,,Hombre,5,3
MIGUEL LERDO DE TEJADA,52,1,4,4,Lesión o incapacidad,No,,Hombre,8,6
REFORMA,18,1,7,8,Lesión o incapacidad,No,,Hombre,5,2
REFORMA,57,7,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,8,4
REFORMA,33,1,2,1,Fala mecánica de bici,Sí,Estacionada,Hombre,8,5
REFORMA,31,6,2,8,Inseguridad,Sí,Estacionada,Hombre,8,5
REFORMA,40,1,2,1,Inseguridad,No,,Mujer,8,6
DR. IGNACIO MORONES PRIETO,25,1,2,1,Lesión o incapacidad,No,,Mujer,5,3
DR. IGNACIO MORONES PRIETO,28,4,1,4,Clima,No,,Hombre,8,5
BAJA CALIFORNIA,57,1,7,4,Lesión o incapacidad,No,,Hombre,5,3
JAIME NUNO,48,2,1,2,Ningún motivo,No,,Mujer,5,1
EMILIANO ZAPATA,33,1,2,1,Recorrido muy largo,No,,Hombre,9,5
EMILIANO ZAPATA,32,2,1,2,Ningún motivo,No,,Hombre,4,1
SANTIAGO ATEPETLAC,14,1,5,6,Fala mecánica de bici,No,,Mujer,4,9
SANTIAGO ATEPETLAC,14,3,1,2,Fala mecánica de bici,No,,Hombre,4,9
OTHON DE MENDIZABAL OTE,60,1,2,1,Fala mecánica de bici,No,,Hombre,8,2
SANTIAGO ATEPETLAC,39,4,5,10,Lesión o incapacidad,No,,Mujer,5,9
ACUEDUCTO DE GUADALUPE,50,1,4,4,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
PONIENTE 134.,28,2,7,8,Fala mecánica de bici,Sí,Estacionada,Hombre,5,2
ACUEDUCTO DE GUADALUPE,40,2,1,2,Ningún motivo,No,,Hombre,4,2
LAZARO CARDENAS,46,1,2,1,Recorrido muy largo,No,,Hombre,8,3
LAZARO CARDENAS,41,1,4,4,Cambio de trabajo,Sí,Estacionada,Hombre,4,2
LEON DE LOS ALDAMA,36,2,1,2,Lesión o incapacidad,No,,Hombre,4,2
LAZARO CARDENAS,44,1,2,1,Fala mecánica de bici,No,,Mujer,3,2
LAZARO CARDENAS,24,2,2,8,Fala mecánica de bici,No,,Hombre,4,2
ACUEDUCTO DE GUADALUPE,52,1,2,1,Clima,No,,Hombre,4,3
LEON DE LOS ALDAMA,52,4,1,2,Fala mecánica de bici,Sí,Estacionada,Hombre,5,2
EDUARDO MOLINA,64,1,4,4,Ningún motivo,Sí,Estacionada,Hombre,4,9
EDUARDO MOLINA,67,1,7,4,Fala mecánica de bici,No,,Hombre,4,3
FERNANDO AMILPA,33,2,2,8,Inseguridad,Sí,En movimiento,Hombre,3,2
FERNANDO AMILPA,54,2,2,8,Lesión o incapacidad,Sí,Estacionada,Hombre,3,2
FERNANDO AMILPA,20,1,2,1,Ningún motivo,No,,Hombre,4,3
FERNANDO AMILPA,72,1,4,5,Lesión o incapacidad,No,,Hombre,7,3
CALZADA SAN JUAN DE ARAGON,50,1,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,3,2
CALZADA SAN JUAN DE ARAGON,57,2,1,2,Ningún motivo,No,,Hombre,3,9
EDUARDO MOLINA,36,1,5,10,Ningún motivo,No,,Hombre,4,9
CAMINO REAL A TOLUCA,18,1,7,6,Inseguridad,No,,Hombre,5,3
AV DR ALFONSO CASOS ANDRADE,22,1,4,4,Lesión o incapacidad,Sí,Estacionada,Hombre,8,9
AV. CUITLAHUAC,62,1,5,10,Recorrido muy largo,Sí,Estacionada,Hombre,3,3
AV. CUITLAHUAC,34,7,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,8,4
CALZADA ERMITA IZTAPALAPA,51,1,2,1,Fala mecánica de bici,No,,Hombre,5,4
AV. JARDIN,38,2,1,1,Ningún motivo,No,,Hombre,5,3
CALZADA ERMITA IZTAPALAPA,17,1,4,4,Fala mecánica de bici,Sí,Estacionada,Mujer,5,1
AV. JARDIN,63,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,4,1
AV. JARDIN,17,2,2,1,Ningún motivo,No,,Hombre,5,1
ISABEL LA CATOLICA,48,1,2,8,Lesión o incapacidad,Sí,Estacionada,Hombre,5,3
ISABEL LA CATOLICA,55,2,2,8,Ningún motivo,No,,Hombre,5,3
RIO DE GUADALUPE,34,2,1,2,Falta de infraestructura,No,,Hombre,8,5
AV JALALPA,21,1,4,4,Clima,No,,Hombre,5,3
CALZADA DESIERTO DE LOS LEONES,21,2,1,2,Inseguridad,No,,Hombre,4,3
AV. ISIDRO ALTO LERMA,20,1,2,1,Lesión o incapacidad,No,,Hombre,4,2
AV. JARDIN,67,4,1,2,Recorrido muy largo,No,,Hombre,3,1
CALZADA CAMARONES,23,1,2,1,Falta de infraestructura,No,,Hombre,5,3
CALZADA CAMARONES,33,1,2,10,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
CALZADA CAMARONES,28,1,2,1,Fala mecánica de bici,No,,Hombre,5,4
SIMON BOLIVAR,25,6,2,1,Lesión o incapacidad,No,,Hombre,4,2
AV UNIVERSIDAD,99,1,2,1,Fala mecánica de bici,Sí,Estacionada,Hombre,5,4
ISABEL LA CATOLICA,47,2,2,1,Ningún motivo,No,,Hombre,8,3
AV. DE LAS GRANJAS,17,1,3,3,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
REAL DE SAN MARTIN,46,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,9
JERUSALEN,27,1,2,1,Lesión o incapacidad,No,,Hombre,8,6
REAL DE SAN MARTIN,62,1,2,1,Lesión o incapacidad,No,,Hombre,4,9
CAMINO A NEXTENGO,63,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,1
CAMINO A NEXTENGO,72,1,4,4,Lesión o incapacidad,Sí,En movimiento,Hombre,5,1
REAL DE SAN MARTIN,40,3,1,2,Recorrido muy largo,No,,Hombre,5,3
AV. DE LAS CULTURAS,44,2,1,2,Ningún motivo,Sí,Estacionada,Hombre,7,4
EL ROSARIO,31,1,2,1,Clima,Sí,Estacionada,Hombre,5,1
FAJA DE ORO,59,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,3
AV. DE LAS CULTURAS,29,3,1,2,Ningún motivo,Sí,Estacionada,Mujer,8,2
EL ROSARIO,71,1,4,4,Lesión o incapacidad,Sí,Estacionada,Hombre,5,9
EL ROSARIO,65,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,9
EL ROSARIO,60,7,1,2,Ningún motivo,No,,Hombre,3,9
SAN FRANCISCO,54,1,2,1,Cambio de trabajo,No,,Hombre,4,3
PASEO DEL PEDREGAL,30,5,2,2,Clima,No,,Mujer,6,4
VASCO DE QUIROGA,23,4,4,9,Clima,No,,Hombre,5,3
AV DR JESÚS MARÍA VERTIZ,40,1,2,1,Cambio de trabajo,No,,Hombre,3,3
AV DR JESÚS MARÍA VERTIZ,29,1,2,1,Lesión o incapacidad,No,,Hombre,8,3
EXTREMADURA,65,1,4,4,Inseguridad,No,,Hombre,5,4
ANEXAGORAS,30,1,4,4,Lesión o incapacidad,Sí,En movimiento,Mujer,8,9
EXTREMADURA,43,1,2,1,Clima,No,,Hombre,5,4
MELCHOR OCAMPO,48,1,2,1,Lesión o incapacidad,No,,Hombre,4,3
FEBO,48,7,1,2,Llevar prisa,No,,Hombre,4,3
EXTREMADURA,23,4,1,2,Recorrido muy largo,No,,Hombre,5,4
AV. PEDRO ENRIQUE UREÑA,45,5,2,1,Ningún motivo,Sí,Estacionada,Hombre,5,2
AV. CERRO DE LAS TORRES,44,1,2,1,Lesión o incapacidad,No,,Mujer,7,1
LERDO,27,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,8,5
JUVENTINO ROSAS,42,1,7,9,Ningún motivo,Sí,Estacionada,Hombre,1,2
LERDO,22,7,5,10,Clima,No,,Mujer,8,4
MANUEL MARIA CONTRERAS,38,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,5,3
DIVISION DEL NORTE,24,1,2,1,Cambio de trabajo,No,,Hombre,5,3
CALCADA DE LAS BOMBAS,50,2,4,1,Lesión o incapacidad,No,,Hombre,4,3
CALCADA DE LAS BOMBAS,29,3,1,2,Llevar prisa,No,,Hombre,8,9
AV. CANAL DE MIRAMONTES,21,3,1,2,Lesión o incapacidad,No,,Mujer,5,9
SANTA ANA,35,7,5,8,Fala mecánica de bici,No,,Hombre,4,2
REY NEZAHUALCOYOTL,45,2,4,1,Lesión o incapacidad,No,,Hombre,4,9
JOSE SOTERO CASTAÑEDA,40,2,4,4,Ningún motivo,Sí,Estacionada,Hombre,5,6
JOSE SOTERO CASTAÑEDA,24,1,3,3,Fala mecánica de bici,No,,Hombre,8,2
MOSQUETA,55,3,1,2,Lesión o incapacidad,No,,Hombre,4,3
MOSQUETA,37,2,2,8,Ningún motivo,No,,Hombre,4,3
PONIENTE 134,30,1,2,1,Lesión o incapacidad,Sí,Estacionada,Mujer,3,3
PONIENTE 134,42,1,2,1,Ningún motivo,No,,Mujer,7,3
FERNANDO AMILPA,40,2,1,2,Cambio de trabajo,Sí,Estacionada,Hombre,3,3
ACUEDUCTO DE GUADALUPE,24,1,3,3,Fala mecánica de bici,No,,Hombre,8,9
SANTIAGO ATEPETLAC,14,3,1,2,Fala mecánica de bici,No,,Hombre,4,9
SANTIAGO ATEPETLAC,27,3,1,2,Lesión o incapacidad,No,,Hombre,4,3
LAZARO CARDENAS,29,2,1,2,Cambio de trabajo,No,,Hombre,8,3
LEON DE LOS ALDAMA,32,1,3,3,Ningún motivo,Sí,En movimiento,Mujer,5,2
LEON DE LOS ALDAMA,60,1,2,1,Ningún motivo,No,,Mujer,3,1
EDUARDO MOLINA,33,1,7,6,Inseguridad,No,,Mujer,5,2
DARIO FERNANDEZ,77,1,5,10,Fala mecánica de bici,Sí,En movimiento,Hombre,3,2
EDUARDO MOLINA,62,2,4,4,Clima,Sí,Estacionada,Hombre,8,3
FERROCARRIL HIDALGO HIDALGO,64,7,2,5,Cambio de trabajo,No,,Hombre,3,3
EDUARDO MOLINA,24,1,7,9,Lesión o incapacidad,No,,Hombre,5,3
BAJA CALIFORNIA,34,3,1,2,Clima,Sí,Estacionada,Hombre,8,4
BAJA CALIFORNIA,34,1,2,1,Lesión o incapacidad,No,,Hombre,8,4
SAN MIGUEL,47,1,5,6,Lesión o incapacidad,Sí,Estacionada,Hombre,8,3
BAJA CALIFORNIA,38,1,2,1,Cambio de trabajo,Sí,En movimiento,Hombre,4,2
DR. IGNACIO MORONES PRIETO,30,1,2,1,Inseguridad,No,,Hombre,6,5
BAJA CALIFORNIA,19,3,1,2,Llevar prisa,No,,Mujer,5,9
REFORMA,26,2,1,2,Inseguridad,No,,Hombre,8,6
REFORMA,23,1,7,6,Inseguridad,No,,Hombre,8,3
DR. IGNACIO MORONES PRIETO,23,1,7,99,Clima,No,,Hombre,6,5
REFORMA,37,1,2,1,Clima,No,,Hombre,8,6
REFORMA,35,1,2,1,Cambio de trabajo,No,,Hombre,8,6
JOSE LORETO FABELA,19,1,3,3,Fala mecánica de bici,No,,Mujer,5,1
JOSE LORETO FABELA,61,1,2,1,Lesión o incapacidad,No,,Hombre,3,3
RIO BAMBA,40,2,1,2,Lesión o incapacidad,No,,Mujer,4,3
AV TALISMAN,56,1,4,4,Lesión o incapacidad,Sí,Estacionada,Hombre,3,3
JOSE LORETO FABELA,25,1,5,10,Lesión o incapacidad,No,,Hombre,8,9
AVILA CAMACHO,44,1,4,4,Lesión o incapacidad,No,,Hombre,8,3
AV. FRANCISCO TLALTENCO,50,1,2,1,Lesión o incapacidad,Sí,Estacionada,Mujer,4,2
AV. FRANCISCO TLALTENCO,38,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,9
AV. FRANCISCO TLALTENCO,16,2,4,4,Cambio de trabajo,No,,Hombre,4,3
AV DEL ARBOL,49,1,2,1,Clima,Sí,En movimiento,Hombre,3,2
AV. VILLA FRANQUEZA,48,2,1,2,Ningún motivo,Sí,En movimiento,Hombre,3,9
AV. VILLA FRANQUEZA,69,2,1,2,Fala mecánica de bici,Sí,Estacionada,Hombre,1,2
CARRIL,28,1,4,4,Llevar prisa,No,,Hombre,4,3
AV. SAN JERONIMO,14,3,1,5,Fala mecánica de bici,No,,Hombre,4,1
SAN LUIS CABRERA,38,1,7,6,Recorrido muy largo,No,,Hombre,4,9
CAMINO DE SANTA TERESA,41,1,2,1,Clima,Sí,Estacionada,Hombre,5,3
CAMINO DE SANTA TERESA,54,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,3,9
FELIPE CARRILLO PUERTO ESQUINA MARINA NACIONAL,72,2,4,4,Lesión o incapacidad,No,,Hombre,3,3
CARRILLO PUERTO MARINA NACIONAL,58,2,7,4,Lesión o incapacidad,No,,Hombre,8,9
MARINA NACIONAL,23,1,2,1,Falta de infraestructura,No,,Hombre,7,3
MARINA NACIONAL,23,1,2,1,Ningún motivo,Sí,En movimiento,Hombre,4,2
SIERRA TARAUMARA,33,1,2,6,Lesión o incapacidad,Sí,Estacionada,Hombre,8,4
AV EJERCITO NACIONAL,24,1,2,1,Lesión o incapacidad,No,,Hombre,5,3
AV EJERCITO NACIONAL,43,2,1,7,Lesión o incapacidad,Sí,Estacionada,Hombre,5,4
AV EJERCITO NACIONAL,25,2,1,2,Clima,No,,Hombre,5,4
SCHILLER,27,2,7,8,Clima,Sí,Estacionada,Hombre,5,9
SCHILLER,38,2,2,8,Lesión o incapacidad,Sí,Estacionada,Hombre,5,3
SCHILLER,25,2,1,2,No haya bici disponible,No,,Hombre,8,5
SCHILLER,29,1,2,1,Ningún motivo,No,,Mujer,8,6
REFORMA,33,2,1,5,Ningún motivo,No,,Hombre,5,9
REFORMA,31,2,7,10,Inseguridad,No,,Mujer,8,9
AV.MORELOS,32,1,2,1,Fala mecánica de bici,No,,Hombre,4,4
VA LAS CRUCES,36,1,4,4,Ningún motivo,No,,Hombre,5,3
AV. MIGUEL HIDALGO,23,1,2,1,Cambio de trabajo,No,,Hombre,5,3
RICARDO MONGUES LOPEZ,59,1,2,1,Lesión o incapacidad,No,,Hombre,4,3
LA TURBA,51,7,1,2,Lesión o incapacidad,No,,Hombre,5,4
LA TURBA,44,1,2,1,No haya bici disponible,No,,Hombre,7,2
LA TURBA,24,1,7,6,Lesión o incapacidad,Sí,Estacionada,Hombre,5,9
AV. JULIO DELGADO,41,1,5,10,Fala mecánica de bici,No,,Hombre,3,9
SAN RAFAEL ATIXCO,52,1,7,6,Lesión o incapacidad,No,,Hombre,5,2
MAR DE LLUVIAS,54,1,5,8,Fala mecánica de bici,No,,Hombre,3,4
AGRICULTURA,45,1,7,5,Lesión o incapacidad,Sí,Estacionada,Hombre,4,4
AGRICULTURA,23,1,4,4,Fala mecánica de bici,Sí,Estacionada,Hombre,4,3
AV CUITLAHUAC,31,1,2,1,Lesión o incapacidad,No,,Hombre,4,3
DR. JUAN PALOMO MARTINEZ,38,1,7,6,Lesión o incapacidad,No,,Mujer,5,4
CAMINO REAL,33,4,1,2,Clima,Sí,Estacionada,Hombre,5,3
CAMINO REAL,50,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,4,1
JOSE LOPEZ PORTILLO,15,1,5,10,Clima,No,,Hombre,4,1
EMILIANO ZAPATA,16,2,1,2,No haya bici disponible,No,,Hombre,4,9
POPOLNAH,43,1,2,1,Cambio de trabajo,No,,Hombre,4,3
"AV, UNION",33,1,7,9,Fala mecánica de bici,Sí,Estacionada,Hombre,8,4
BOULEVARD PICACHO AJUSCO Y TIZIMIN,52,1,2,1,Ningún motivo,No,,Hombre,3,2
DZITAS,44,2,7,8,Lesión o incapacidad,Sí,Estacionada,Hombre,4,4
TENORIOS,60,1,7,6,Falta de infraestructura,Sí,Estacionada,Hombre,8,9
BOULEVARD PICACHO AJUSCO,14,1,5,10,Llevar prisa,No,,Hombre,3,9
CAMINO ANTIGUO A CUERNAVACA,14,1,2,1,Ningún motivo,No,,Hombre,3,3
AV. MEXICO AJUSCO,62,7,1,2,Ningún motivo,Sí,En movimiento,Hombre,3,2
INSURGENTE SUR,59,2,2,1,Ningún motivo,No,,Hombre,4,2
AV DEL TALLER,29,2,7,8,Fala mecánica de bici,No,,Hombre,8,4
TENOCHTITLAN,76,7,1,4,Lesión o incapacidad,Sí,Estacionada,Hombre,3,2
TENOCHTITLAN,43,2,1,2,Recorrido muy largo,No,,Hombre,8,4
IZTACCIHUATL,45,1,2,1,Inseguridad,No,,Hombre,1,3
IZTACCIHUATL,49,7,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,8,4
AV TAHEL,44,7,1,2,Ningún motivo,No,,Hombre,4,3
AV. PE?ON,30,2,1,2,Llevar prisa,No,,Hombre,5,4
PLUTARCO ELIAS CALLES,27,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,5,4
CALZADA DE LA VIGA,26,2,7,8,Cambio de trabajo,Sí,En movimiento,Hombre,4,3
CONGRESO DE LA UNION,31,1,3,5,Inseguridad,Sí,Estacionada,Mujer,5,4
SUR 16,19,3,1,2,Llevar prisa,No,,Hombre,5,9
CALZADA DE LA VIGA,49,1,7,8,Cambio de trabajo,No,,Hombre,4,3
TELECOMUNICACIOES,64,7,1,2,Lesión o incapacidad,No,,Hombre,5,2
CAMINO ANTIGUA CULHUACAN,22,1,3,3,Clima,No,,Hombre,5,3
CAMINO ANTIGUO CULHUACAN,98,1,2,1,No haya bici disponible,Sí,Estacionada,Hombre,1,2
AV. MICHOACAN,18,1,5,10,Recorrido muy largo,No,,Hombre,5,9
ANILLO PERIFERICO,43,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,3,3
ANILLO PERIFERICO,56,2,2,8,Ningún motivo,Sí,Estacionada,Hombre,4,3
